option,SKU,SMSXR,SMSXR-NP,SMSXP,SMSXP-NP,SMSXU,SMSXU-NP,SMDXR,SMDXR-NP,SMDXP,SMDXP-NP,SMDXU,SMDXU-NP,M1SXR,M1SXR-NP,M1SXP,M1SXP-NP,M1SXU,M1SXU-NP,M1DXR,M1DXR-NP,M1DXP,M1DXP-NP,M1DXU,M1DXU-NP,M3SXR,M3SXR-NP,M3SXP,M3SXP-NP,M3SXU,M3SXU-NP,M3DXR,M3DXR-NP,M3DXP,M3DXP-NP,M3DXU,M3DXU-NP,M4SXR,M4SXR-NP,M4SXP,M4SXP-NP,M4SXU,M4SXU-NP,M4DXR,M4DXR-NP,M4DXP,M4DXP-NP,M4DXU,M4DXU-NP,M5SXR,M5SXR-NP,M5SXP,M5SXP-NP,M5SXU,M5SXU-NP,M5DXR,M5DXR-NP,M5DXP,M5DXP-NP,M5DXU,M5DXU-NP
79.24 m / 260 ft,260FT,$34.30,$42.42,$29.77,$37.90,$42.13,$71.37,$52.34,$68.59,$56.74,$72.99,$67.45,$107.07,$50.14,$58.27,$53.54,$61.67,$54.54,$62.67,$91.96,$100.29,$96.36,$104.69,$100.36,$108.69,$50.14,$58.27,$53.54,$61.67,$54.54,$62.67,$51.19,$90.57,$96.36,$104.69,$100.36,$108.69,$46.59,$62.46,$50.43,$66.30,$54.05,$69.92,$84.79,$100.40,$92.46,$108.07,$99.70,$115.31,$153.16,$161.28,$156.56,$164.68,$157.56,$165.68,$282.14,$290.46,$286.54,$294.86,$290.54,$298.86
80 m / 262.46 ft,080M,$34.60,$42.80,$30.00,$38.20,$42.44,$71.96,$52.80,$69.20,$57.20,$73.60,$67.91,$107.91,$50.60,$58.80,$54.00,$62.20,$55.00,$63.20,$92.80,$101.20,$97.20,$105.60,$101.20,$109.60,$50.60,$58.80,$54.00,$62.20,$55.00,$63.20,$51.63,$91.39,$97.20,$105.60,$101.20,$109.60,$47.02,$63.04,$50.86,$66.88,$54.48,$70.50,$85.55,$101.31,$93.23,$108.99,$100.47,$116.23,$154.60,$162.80,$158.00,$166.20,$159.00,$167.20,$284.80,$293.20,$289.20,$297.60,$293.20,$301.60
83.82 m / 275 ft,275FT,$36.13,$44.71,$31.15,$39.73,$43.99,$74.92,$55.09,$72.26,$59.49,$76.66,$70.20,$112.11,$52.89,$61.47,$56.29,$64.87,$57.29,$65.87,$97.00,$105.78,$101.40,$110.18,$105.40,$114.18,$52.89,$61.47,$56.29,$64.87,$57.29,$65.87,$53.86,$95.52,$101.40,$110.18,$105.40,$114.18,$49.14,$65.93,$52.98,$69.77,$56.60,$73.39,$89.40,$105.91,$97.08,$113.59,$104.32,$120.83,$161.86,$170.44,$165.26,$173.84,$166.26,$174.84,$298.17,$306.95,$302.57,$311.35,$306.57,$315.35
85.34 m / 280 ft,280FT,$36.74,$45.47,$31.60,$40.34,$44.60,$76.09,$56.00,$73.47,$60.40,$77.87,$71.11,$113.78,$53.80,$62.54,$57.20,$65.94,$58.20,$66.94,$98.67,$107.61,$103.07,$112.01,$107.07,$116.01,$53.80,$62.54,$57.20,$65.94,$58.20,$66.94,$54.74,$97.16,$103.07,$112.01,$107.07,$116.01,$49.99,$67.08,$53.83,$70.92,$57.45,$74.54,$90.93,$107.74,$98.61,$115.42,$105.85,$122.66,$164.75,$173.48,$168.15,$176.88,$169.15,$177.88,$303.49,$312.42,$307.89,$316.82,$311.89,$320.82
90 m / 295.27 ft,090M,$38.60,$47.80,$33.00,$42.20,$46.50,$79.71,$58.80,$77.20,$63.20,$81.60,$73.91,$118.91,$56.60,$65.80,$60.00,$69.20,$61.00,$70.20,$103.80,$113.20,$108.20,$117.60,$112.20,$121.60,$56.60,$65.80,$60.00,$69.20,$61.00,$70.20,$57.46,$102.19,$108.20,$117.60,$112.20,$121.60,$52.58,$70.61,$56.42,$74.45,$60.04,$78.07,$95.62,$113.35,$103.30,$121.03,$110.54,$128.27,$173.60,$182.80,$177.00,$186.20,$178.00,$187.20,$319.80,$329.20,$324.20,$333.60,$328.20,$337.60
91.44 m /  300 ft,300FT,$39.18,$48.52,$33.43,$42.78,$47.08,$80.82,$59.66,$78.35,$64.06,$82.75,$74.77,$120.49,$57.46,$66.81,$60.86,$70.21,$61.86,$71.21,$105.38,$114.93,$109.78,$119.33,$113.78,$123.33,$57.46,$66.81,$60.86,$70.21,$61.86,$71.21,$58.30,$103.75,$109.78,$119.33,$113.78,$123.33,$53.38,$71.70,$57.22,$75.54,$60.84,$79.16,$97.07,$115.08,$104.75,$122.76,$111.99,$130.00,$176.34,$185.68,$179.74,$189.08,$180.74,$190.08,$324.84,$334.38,$329.24,$338.78,$333.24,$342.78
95 m /  311.67 ft,095M,$40.60,$50.30,$34.50,$44.20,$48.53,$83.58,$61.80,$81.20,$66.20,$85.60,$76.91,$124.41,$59.60,$69.30,$63.00,$72.70,$64.00,$73.70,$109.30,$119.20,$113.70,$123.60,$117.70,$127.60,$59.60,$69.30,$63.00,$72.70,$64.00,$73.70,$60.38,$107.59,$113.70,$123.60,$117.70,$127.60,$55.36,$74.39,$59.20,$78.23,$62.82,$81.85,$100.66,$119.37,$108.34,$127.05,$115.58,$134.29,$183.10,$192.80,$186.50,$196.20,$187.50,$197.20,$337.30,$347.20,$341.70,$351.60,$345.70,$355.60
99.06 m / 325 ft,325FT,$42.22,$52.33,$35.72,$45.82,$50.17,$86.73,$64.24,$84.45,$68.64,$88.85,$79.35,$128.88,$62.04,$72.14,$65.44,$75.54,$66.44,$76.54,$113.77,$124.07,$118.17,$128.47,$122.17,$132.47,$62.04,$72.14,$65.44,$75.54,$66.44,$76.54,$62.74,$111.98,$118.17,$128.47,$122.17,$132.47,$57.62,$77.46,$61.46,$81.30,$65.08,$84.92,$104.74,$124.26,$112.42,$131.94,$119.66,$139.18,$190.81,$200.92,$194.21,$204.32,$195.21,$205.32,$351.51,$361.82,$355.91,$366.22,$359.91,$370.22
100 m / 328.08 ft,100M,$42.60,$52.80,$36.00,$46.20,$50.56,$87.46,$64.80,$85.20,$69.20,$89.60,$79.91,$129.91,$62.60,$72.80,$66.00,$76.20,$67.00,$77.20,$114.80,$125.20,$119.20,$129.60,$123.20,$133.60,$62.60,$72.80,$66.00,$76.20,$67.00,$77.20,$63.29,$112.99,$119.20,$129.60,$123.20,$133.60,$58.15,$78.18,$61.99,$82.02,$65.61,$85.64,$105.69,$125.39,$113.37,$133.07,$120.61,$140.31,$192.60,$202.80,$196.00,$206.20,$197.00,$207.20,$354.80,$365.20,$359.20,$369.60,$363.20,$373.60
106.68 m / 350 ft,350FT,$45.27,$56.14,$38.00,$48.87,$53.27,$92.63,$68.81,$90.54,$73.21,$94.94,$83.92,$137.26,$66.61,$77.48,$70.01,$80.88,$71.01,$81.88,$122.15,$133.22,$126.55,$137.62,$130.55,$141.62,$66.61,$77.48,$70.01,$80.88,$71.01,$81.88,$67.19,$120.21,$126.55,$137.62,$130.55,$141.62,$61.86,$83.23,$65.70,$87.07,$69.32,$90.69,$112.42,$133.43,$120.10,$141.11,$127.34,$148.35,$205.29,$216.16,$208.69,$219.56,$209.69,$220.56,$378.18,$389.25,$382.58,$393.65,$386.58,$397.65
114.3 m / 375 ft,375FT,$48.32,$59.95,$40.29,$51.92,$56.36,$98.54,$73.38,$96.64,$77.78,$101.04,$88.49,$145.64,$71.18,$82.81,$74.58,$86.21,$75.58,$87.21,$130.53,$142.36,$134.93,$146.76,$138.93,$150.76,$71.18,$82.81,$74.58,$86.21,$75.58,$87.21,$71.63,$128.44,$134.93,$146.76,$138.93,$150.76,$66.10,$89.00,$69.94,$92.84,$73.56,$96.46,$120.09,$142.61,$127.77,$150.29,$135.01,$157.53,$219.77,$231.40,$223.17,$234.80,$224.17,$235.80,$404.85,$416.68,$409.25,$421.08,$413.25,$425.08
121.92 m / 400 ft,400FT,$51.37,$63.76,$42.58,$54.97,$59.45,$104.44,$77.95,$102.74,$82.35,$107.14,$93.06,$154.02,$75.75,$88.14,$79.15,$91.54,$80.15,$92.54,$138.91,$151.50,$143.31,$155.90,$147.31,$159.90,$75.75,$88.14,$79.15,$91.54,$80.15,$92.54,$76.07,$136.66,$143.31,$155.90,$147.31,$159.90,$70.34,$94.76,$74.18,$98.60,$77.80,$102.22,$127.76,$151.78,$135.44,$159.46,$142.68,$166.70,$234.25,$246.64,$237.65,$250.04,$238.65,$251.04,$431.52,$444.11,$435.92,$448.51,$439.92,$452.51
125 m /  410.10 ft,125M,$52.60,$65.30,$43.50,$56.20,$60.71,$106.83,$79.80,$105.20,$84.20,$109.60,$94.91,$157.41,$77.60,$90.30,$81.00,$93.70,$82.00,$94.70,$142.30,$155.20,$146.70,$159.60,$150.70,$163.60,$77.60,$90.30,$81.00,$93.70,$82.00,$94.70,$77.87,$139.99,$146.70,$159.60,$150.70,$163.60,$72.06,$97.10,$75.90,$100.94,$79.52,$104.56,$130.87,$155.49,$138.55,$163.17,$145.79,$170.41,$240.10,$252.80,$243.50,$256.20,$244.50,$257.20,$442.30,$455.20,$446.70,$459.60,$450.70,$463.60
129.54 m / 425 ft,425FT,$54.42,$67.57,$44.86,$58.02,$62.55,$110.35,$82.52,$108.83,$86.92,$113.23,$97.63,$162.40,$80.32,$93.48,$83.72,$96.88,$84.72,$97.88,$147.29,$160.65,$151.69,$165.05,$155.69,$169.05,$80.32,$93.48,$83.72,$96.88,$84.72,$97.88,$80.51,$144.89,$151.69,$165.05,$155.69,$169.05,$74.58,$100.53,$78.42,$104.37,$82.04,$107.99,$135.44,$160.96,$143.12,$168.64,$150.36,$175.88,$248.73,$261.88,$252.13,$265.28,$253.13,$266.28,$458.19,$471.54,$462.59,$475.94,$466.59,$479.94
137.16 m / 450 ft,450FT,$57.46,$71.38,$47.15,$61.06,$65.64,$116.25,$87.10,$114.93,$91.50,$119.33,$102.21,$170.79,$84.90,$98.81,$88.30,$102.21,$89.30,$103.21,$155.68,$169.79,$160.08,$174.19,$164.08,$178.19,$84.90,$98.81,$88.30,$102.21,$89.30,$103.21,$84.96,$153.12,$160.08,$174.19,$164.08,$178.19,$78.83,$106.30,$82.66,$110.14,$86.28,$113.76,$143.11,$170.13,$150.79,$177.81,$158.03,$185.05,$263.20,$277.12,$266.60,$280.52,$267.60,$281.52,$484.86,$498.98,$489.26,$503.38,$493.26,$507.38
144.78 m / 475 ft,475FT,$60.51,$75.19,$49.43,$64.11,$68.74,$122.16,$91.67,$121.02,$96.07,$125.42,$106.78,$179.17,$89.47,$104.15,$92.87,$107.55,$93.87,$108.55,$164.06,$178.94,$168.46,$183.34,$172.46,$187.34,$89.47,$104.15,$92.87,$107.55,$93.87,$108.55,$89.40,$161.35,$168.46,$183.34,$172.46,$187.34,$83.07,$112.07,$86.91,$115.90,$90.53,$119.52,$150.78,$179.31,$158.46,$186.99,$165.70,$194.23,$277.68,$292.36,$281.08,$295.76,$282.08,$296.76,$511.53,$526.41,$515.93,$530.81,$519.93,$534.81
150 m / 492.12 ft,150M,$62.60,$77.80,$51.00,$66.20,$70.86,$126.21,$94.80,$125.20,$99.20,$129.60,$109.91,$184.91,$92.60,$107.80,$96.00,$111.20,$97.00,$112.20,$169.80,$185.20,$174.20,$189.60,$178.20,$193.60,$92.60,$107.80,$96.00,$111.20,$97.00,$112.20,$92.44,$166.99,$174.20,$189.60,$178.20,$193.60,$85.97,$116.02,$89.81,$119.86,$93.43,$123.48,$156.04,$185.59,$163.72,$193.27,$170.96,$200.51,$287.60,$302.80,$291.00,$306.20,$292.00,$307.20,$529.80,$545.20,$534.20,$549.60,$538.20,$553.60
152.40 m / 500 ft,500FT,$63.56,$79.00,$51.72,$67.16,$71.83,$128.07,$96.24,$127.12,$100.64,$131.52,$111.35,$187.55,$94.04,$109.48,$97.44,$112.88,$98.44,$113.88,$172.44,$188.08,$176.84,$192.48,$180.84,$196.48,$94.04,$109.48,$97.44,$112.88,$98.44,$113.88,$93.84,$169.58,$176.84,$192.48,$180.84,$196.48,$87.31,$117.83,$91.15,$121.67,$94.77,$125.29,$158.46,$188.48,$166.14,$196.16,$173.38,$203.40,$292.16,$307.60,$295.56,$311.00,$296.56,$312.00,$538.20,$553.84,$542.60,$558.24,$546.60,$562.24
160.02 m / 525 ft,525FT,$66.61,$82.81,$54.01,$70.21,$74.92,$133.97,$100.81,$133.22,$105.21,$137.62,$115.92,$195.93,$98.61,$114.81,$102.01,$118.21,$103.01,$119.21,$180.82,$197.22,$185.22,$201.62,$189.22,$205.62,$98.61,$114.81,$102.01,$118.21,$103.01,$119.21,$98.28,$177.81,$185.22,$201.62,$189.22,$205.62,$91.55,$123.60,$95.39,$127.44,$99.01,$131.06,$166.13,$197.66,$173.81,$205.33,$181.05,$212.57,$306.64,$322.84,$310.04,$326.24,$311.04,$327.24,$564.87,$581.27,$569.27,$585.67,$573.27,$589.67
167.64 m / 550 ft,550FT,$69.66,$86.62,$56.29,$73.26,$78.02,$139.88,$105.38,$139.31,$109.78,$143.71,$120.49,$204.31,$103.18,$120.15,$106.58,$123.55,$107.58,$124.55,$189.20,$206.37,$193.60,$210.77,$197.60,$214.77,$103.18,$120.15,$106.58,$123.55,$107.58,$124.55,$102.73,$186.04,$193.60,$210.77,$197.60,$214.77,$95.79,$129.37,$99.63,$133.20,$103.25,$136.82,$173.80,$206.83,$181.48,$214.51,$188.72,$221.75,$321.12,$338.08,$324.52,$341.48,$325.52,$342.48,$591.54,$608.70,$595.94,$613.10,$599.94,$617.10
175 m / 574.14 ft,175M,$72.60,$90.30,$58.50,$76.20,$81.01,$145.58,$109.80,$145.20,$114.20,$149.60,$124.91,$212.41,$107.60,$125.30,$111.00,$128.70,$112.00,$129.70,$197.30,$215.20,$201.70,$219.60,$205.70,$223.60,$107.60,$125.30,$111.00,$128.70,$112.00,$129.70,$107.02,$193.99,$201.70,$219.60,$205.70,$223.60,$99.88,$134.94,$103.72,$138.78,$107.34,$142.40,$181.22,$215.69,$188.90,$223.37,$196.14,$230.61,$335.10,$352.80,$338.50,$356.20,$339.50,$357.20,$617.30,$635.20,$621.70,$639.60,$625.70,$643.60
182.88 m / 600 ft,600FT,$75.75,$94.24,$60.86,$79.35,$84.20,$151.69,$114.53,$151.50,$118.93,$155.90,$129.64,$221.08,$112.33,$130.82,$115.73,$134.22,$116.73,$135.22,$205.97,$224.66,$210.37,$229.06,$214.37,$233.06,$112.33,$130.82,$115.73,$134.22,$116.73,$135.22,$111.61,$202.50,$210.37,$229.06,$214.37,$233.06,$104.27,$140.90,$108.11,$144.74,$111.73,$148.36,$189.15,$225.18,$196.83,$232.86,$204.07,$240.10,$350.07,$368.56,$353.47,$371.96,$354.47,$372.96,$644.88,$663.57,$649.28,$667.97,$653.28,$671.97
200 m / 656.16 ft,200M,$82.60,$102.80,$66.00,$86.20,$91.16,$164.96,$124.80,$165.20,$129.20,$169.60,$139.91,$239.91,$122.60,$142.80,$126.00,$146.20,$127.00,$147.20,$224.80,$245.20,$229.20,$249.60,$233.20,$253.60,$122.60,$142.80,$126.00,$146.20,$127.00,$147.20,$121.59,$220.99,$229.20,$249.60,$233.20,$253.60,$113.80,$153.86,$117.64,$157.70,$121.26,$161.32,$206.39,$245.79,$214.07,$253.47,$221.31,$260.71,$382.60,$402.80,$386.00,$406.20,$387.00,$407.20,$704.80,$725.20,$709.20,$729.60,$713.20,$733.60
250 m / 820.20 ft,250M,$102.60,$127.80,$81.00,$106.20,$111.46,$203.71,$154.80,$205.20,$159.20,$209.60,$169.91,$294.91,$152.60,$177.80,$156.00,$181.20,$157.00,$182.20,$279.80,$305.20,$284.20,$309.60,$288.20,$313.60,$152.60,$177.80,$156.00,$181.20,$157.00,$182.20,$150.74,$274.99,$284.20,$309.60,$288.20,$313.60,$141.62,$191.70,$145.46,$195.54,$149.08,$199.16,$256.74,$305.99,$264.42,$313.67,$271.66,$320.91,$477.60,$502.80,$481.00,$506.20,$482.00,$507.20,$879.80,$905.20,$884.20,$909.60,$888.20,$913.60
300 m / 984.25 ft,300M,$122.60,$152.80,$96.00,$126.20,$131.76,$242.46,$184.80,$245.20,$189.20,$249.60,$199.91,$349.91,$182.60,$212.80,$186.00,$216.20,$187.00,$217.20,$334.80,$365.20,$339.20,$369.60,$343.20,$373.60,$182.60,$212.80,$186.00,$216.20,$187.00,$217.20,$179.89,$328.99,$339.20,$369.60,$343.20,$373.60,$169.45,$229.54,$173.29,$233.38,$176.91,$237.00,$307.09,$366.19,$314.77,$373.87,$322.01,$381.11,$572.60,$602.80,$576.00,$606.20,$577.00,$607.20,"$1,054.80","$1,085.20","$1,059.20","$1,089.60","$1,063.20","$1,093.60"
304.8 m / 1000 ft,1000FT,$124.52,$155.20,$97.44,$128.12,$133.70,$246.18,$187.68,$249.04,$192.08,$253.44,$202.79,$355.19,$185.48,$216.16,$188.88,$219.56,$189.88,$220.56,$340.08,$370.96,$344.48,$375.36,$348.48,$379.36,$185.48,$216.16,$188.88,$219.56,$189.88,$220.56,$182.69,$334.18,$344.48,$375.36,$348.48,$379.36,$172.12,$233.17,$175.96,$237.01,$179.58,$240.63,$311.92,$371.97,$319.60,$379.65,$326.84,$386.89,$581.72,$612.40,$585.12,$615.80,$586.12,$616.80,"$1,071.60","$1,102.48","$1,076.00","$1,106.88","$1,080.00","$1,110.88"
350 m / 1148.29 ft,350M,$142.60,$177.80,$111.00,$146.20,$152.06,$281.21,$214.80,$285.20,$219.20,$289.60,$229.91,$404.91,$212.60,$247.80,$216.00,$251.20,$217.00,$252.20,$389.80,$425.20,$394.20,$429.60,$398.20,$433.60,$212.60,$247.80,$216.00,$251.20,$217.00,$252.20,$209.04,$382.99,$394.20,$429.60,$398.20,$433.60,$197.27,$267.38,$201.11,$271.22,$204.73,$274.84,$357.44,$426.39,$365.12,$434.07,$372.36,$441.31,$667.60,$702.80,$671.00,$706.20,$672.00,$707.20,"$1,229.80","$1,265.20","$1,234.20","$1,269.60","$1,238.20","$1,273.60"
400 m / 1312.33 ft,400M,$162.60,$202.80,$126.00,$166.20,$172.36,$319.96,$244.80,$325.20,$249.20,$329.60,$259.91,$459.91,$242.60,$282.80,$246.00,$286.20,$247.00,$287.20,$444.80,$485.20,$449.20,$489.60,$453.20,$493.60,$242.60,$282.80,$246.00,$286.20,$247.00,$287.20,$238.19,$436.99,$449.20,$489.60,$453.20,$493.60,$225.10,$305.22,$228.94,$309.06,$232.56,$312.68,$407.79,$486.59,$415.47,$494.27,$422.71,$501.51,$762.60,$802.80,$766.00,$806.20,$767.00,$807.20,"$1,404.80","$1,445.20","$1,409.20","$1,449.60","$1,413.20","$1,453.60"
500 m / 1640.41 ft,500M,$202.60,$252.80,$156.00,$206.20,$212.96,$397.46,$304.80,$405.20,$309.20,$409.60,$319.91,$569.91,$302.60,$352.80,$306.00,$356.20,$307.00,$357.20,$554.80,$605.20,$559.20,$609.60,$563.20,$613.60,$302.60,$352.80,$306.00,$356.20,$307.00,$357.20,$296.49,$544.99,$559.20,$609.60,$563.20,$613.60,$280.75,$380.90,$284.59,$384.74,$288.21,$388.36,$508.49,$606.99,$516.17,$614.67,$523.41,$621.91,$952.60,"$1,002.80",$956.00,"$1,006.20",$957.00,"$1,007.20","$1,754.80","$1,805.20","$1,759.20","$1,809.60","$1,763.20","$1,813.60"
550 m / 1804.46 ft,550M,$222.60,$277.80,$171.00,$226.20,$233.26,$436.21,$334.80,$445.20,$339.20,$449.60,$349.91,$624.91,$332.60,$387.80,$336.00,$391.20,$337.00,$392.20,$609.80,$665.20,$614.20,$669.60,$618.20,$673.60,$332.60,$387.80,$336.00,$391.20,$337.00,$392.20,$325.64,$598.99,$614.20,$669.60,$618.20,$673.60,$308.57,$418.74,$312.41,$422.58,$316.03,$426.20,$558.84,$667.19,$566.52,$674.87,$573.76,$682.11,"$1,047.60","$1,102.80","$1,051.00","$1,106.20","$1,052.00","$1,107.20","$1,929.80","$1,985.20","$1,934.20","$1,989.60","$1,938.20","$1,993.60"
1000 m / 3280.83 ft,1000M,$402.60,$502.80,$306.00,$406.20,$415.96,$784.96,$604.80,$805.20,$609.20,$809.60,$619.91,"$1,119.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,763.14,,766.76,,,,"$1,216.67",,"$1,223.91",,,,,,,,,,,,
2000 m / 6561.66 ft,2000M,$802.60,"$1,002.80",$606.00,$806.20,$821.96,"$1,559.96","$1,204.80","$1,605.20","$1,209.20","$1,609.60","$1,219.91","$2,219.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.94,,1523.56,,,,"$2,420.67",,"$2,427.91",,,,,,,,,,,,
